HeatRateCurve,SeriesHRC,InterceptHRC,SlopeHRC
CHP_NAT_GAS_06_3,CHP_NAT_GAS_06,-0.6975,8.73
CHP_NAT_GAS_07_1,CHP_NAT_GAS_07,0,7.2
CHP_NAT_GAS_08_1,CHP_NAT_GAS_08,0,6.5336
CHP_NAT_GAS_09_1,CHP_NAT_GAS_09,0,7.0828
CHP_NAT_GAS_09_2,CHP_NAT_GAS_09,-0.259554681,7.6019
CHP_NAT_GAS_09_3,CHP_NAT_GAS_09,-0.648814468,8.1209
CHP_NAT_GAS_10_1,CHP_NAT_GAS_10,0,5.9149
CHP_NAT_GAS_10_2,CHP_NAT_GAS_10,-0.216732553,6.3484
CHP_NAT_GAS_10_3,CHP_NAT_GAS_10,-0.541853404,6.7819
CHP_NAT_GAS_11_1,CHP_NAT_GAS_11,0,6.7669
CHP_NAT_GAS_12_1,CHP_NAT_GAS_12,0,7.5
CHP_NAT_GAS_13_1,CHP_NAT_GAS_13,0,6.0453
CHP_NAT_GAS_13_2,CHP_NAT_GAS_13,-0.101850839,6.1811
CHP_NAT_GAS_14_1,CHP_NAT_GAS_14,0,5.64
CHP_NAT_GAS_14_2,CHP_NAT_GAS_14,-0.20665,6.0533
CHP_NAT_GAS_14_3,CHP_NAT_GAS_14,-0.516691753,6.4667
CHP_NAT_GAS_15_1,CHP_NAT_GAS_15,0,8.3527
CHP_NAT_GAS_16_1,CHP_NAT_GAS_16,0,5.3832
CHP_NAT_GAS_16_2,CHP_NAT_GAS_16,-0.100906883,5.585
CHP_NAT_GAS_16_3,CHP_NAT_GAS_16,-0.80747004,6.5271
CHP_NAT_GAS_17_1,CHP_NAT_GAS_17,0,5.8569
CHP_NAT_GAS_17_2,CHP_NAT_GAS_17,-0.214638362,6.2862
CHP_NAT_GAS_17_3,CHP_NAT_GAS_17,-0.53655,6.7154
CHP_NAT_GAS_18_1,CHP_NAT_GAS_18,0,5.9627
CHP_NAT_GAS_18_2,CHP_NAT_GAS_18,-0.335392,6.6335
CHP_NAT_GAS_18_3,CHP_NAT_GAS_18,-0.447207111,6.7826
CHP_NAT_GAS_20_1,CHP_NAT_GAS_20,0,6.844
CHP_NAT_GAS_20_2,CHP_NAT_GAS_20,-0.250792823,7.3456
CHP_NAT_GAS_20_3,CHP_NAT_GAS_20,-0.626988038,7.8472
CHP_NAT_GAS_21_1,CHP_NAT_GAS_21,0,8.238
CHP_NAT_GAS_22_1,CHP_NAT_GAS_22,0,5.3799
CHP_NAT_GAS_22_2,CHP_NAT_GAS_22,-0.680624286,6.2874
CHP_NAT_GAS_23_1,CHP_NAT_GAS_23,0,5.1557
CHP_NAT_GAS_23_2,CHP_NAT_GAS_23,-0.096676923,5.3491
CHP_NAT_GAS_23_3,CHP_NAT_GAS_23,-0.77333,6.2513
CHP_NAT_GAS_24_1,CHP_NAT_GAS_24,0,5.5385
CHP_NAT_GAS_24_2,CHP_NAT_GAS_24,-0.103856128,5.7462
CHP_NAT_GAS_24_3,CHP_NAT_GAS_24,-0.830767318,6.7154
CHP_NAT_GAS_25_1,CHP_NAT_GAS_25,0,6.81
CHP_NAT_GAS_25_2,CHP_NAT_GAS_25,-0.34875,7.275
CHP_NAT_GAS_26_1,CHP_NAT_GAS_26,0,7.2544
CHP_NAT_GAS_26_2,CHP_NAT_GAS_26,-0.135997087,7.5264
CHP_NAT_GAS_26_3,CHP_NAT_GAS_26,-1.088185437,8.796
CHP_NAT_GAS_27_1,CHP_NAT_GAS_27,0,7.4805
CHP_NAT_GAS_27_2,CHP_NAT_GAS_27,-0.140242708,7.761
CHP_NAT_GAS_27_3,CHP_NAT_GAS_27,-1.122058333,9.0701
CHP_NAT_GAS_28_1,CHP_NAT_GAS_28,0,6.549
CHP_NAT_GAS_29_1,CHP_NAT_GAS_29,0,6.0912
CHP_NAT_GAS_29_2,CHP_NAT_GAS_29,-0.2232,6.5376
CHP_NAT_GAS_29_3,CHP_NAT_GAS_29,-0.558,6.984
CHP_NAT_GAS_30_1,CHP_NAT_GAS_30,0,6.9231
CHP_NAT_GAS_31_1,CHP_NAT_GAS_31,0,6.9061
CHP_NAT_GAS_31_2,CHP_NAT_GAS_31,-0.253040741,7.4122
CHP_NAT_GAS_31_3,CHP_NAT_GAS_31,-0.632679012,7.9184
CHP_NAT_GAS_32_1,CHP_NAT_GAS_32,0,6.9534
CHP_NAT_GAS_32_2,CHP_NAT_GAS_32,-0.254798718,7.463
CHP_NAT_GAS_32_3,CHP_NAT_GAS_32,-0.636996154,7.9726
CHP_NAT_GAS_33_1,CHP_NAT_GAS_33,0,7.3469
CHP_NAT_GAS_34_1,CHP_NAT_GAS_34,0,6.8652
CHP_NAT_GAS_34_2,CHP_NAT_GAS_34,-0.2232,7.3116
CHP_NAT_GAS_34_3,CHP_NAT_GAS_34,-0.558,7.758
CHP_NAT_GAS_35_1,CHP_NAT_GAS_35,0,6.729
CHP_NAT_GAS_35_2,CHP_NAT_GAS_35,-0.378502985,7.486
CHP_NAT_GAS_35_3,CHP_NAT_GAS_35,-0.504658209,7.6542
CHP_NAT_GAS_36_1,CHP_NAT_GAS_36,0,6
CHP_NAT_GAS_36_2,CHP_NAT_GAS_36,-0.3375,6.675
CHP_NAT_GAS_36_3,CHP_NAT_GAS_36,-0.45,6.825
CHP_NAT_GAS_37_1,CHP_NAT_GAS_37,0,7.8392
CHP_NAT_GAS_38_1,CHP_NAT_GAS_38,0,5.8776
CHP_NAT_GAS_38_2,CHP_NAT_GAS_38,-0.330606667,6.5388
CHP_NAT_GAS_38_3,CHP_NAT_GAS_38,-0.440788333,6.6857
CHP_NAT_GAS_39_1,CHP_NAT_GAS_39,0,6.5376
CHP_NAT_GAS_39_2,CHP_NAT_GAS_39,-0.3348,6.984
CHP_NAT_GAS_40_1,CHP_NAT_GAS_40,0,5.3333
CHP_NAT_GAS_40_2,CHP_NAT_GAS_40,-0.099994595,5.5333
CHP_NAT_GAS_40_3,CHP_NAT_GAS_40,-0.800036036,6.4667
CHP_NAT_GAS_41_1,CHP_NAT_GAS_41,0,8.0833
CHP_NAT_GAS_42_1,CHP_NAT_GAS_42,0,6.984
CHP_NAT_GAS_43_1,CHP_NAT_GAS_43,0,9.9771
CHP_NAT_GAS_44_1,CHP_NAT_GAS_44,0,6.7154
CHP_NAT_GAS_45_1,CHP_NAT_GAS_45,0,5.9564
CHP_NAT_GAS_46_1,CHP_NAT_GAS_46,0,5.9723
CHP_NAT_GAS_47_1,CHP_NAT_GAS_47,0,6.552
CHP_NAT_GAS_48_1,CHP_NAT_GAS_48,0,7.934
CHP_NAT_GAS_48_2,CHP_NAT_GAS_48,-0.406278571,8.4757
CHP_NAT_GAS_49_1,CHP_NAT_GAS_49,0,7.2289
CHP_NAT_GAS_50_1,CHP_NAT_GAS_50,0,7.275
CHP_WASTE_01_1,CHP_WASTE_01,0,13.2417
CHP_WASTE_01_2,CHP_WASTE_01,-0.48522807,14.2122
CHP_WASTE_01_3,CHP_WASTE_01,-1.213035088,15.1826
CST_BIOMASS_01_1,CST_BIOMASS_01,0,7.6465
CST_BIOMASS_01_2,CST_BIOMASS_01,-0.280200985,8.2069
CST_BIOMASS_01_3,CST_BIOMASS_01,-0.700506158,8.7673
CST_BIOMASS_02_1,CST_BIOMASS_02,0,14.2292
CST_COAL_01_1,CST_COAL_01,0,9.2308
CST_COAL_02_1,CST_COAL_02,0,8.1127
CST_COAL_02_2,CST_COAL_02,-0.152111957,8.4169
CST_COAL_02_3,CST_COAL_02,-1.216886685,9.8366
CST_COAL_03_1,CST_COAL_03,0,9.4737
CST_COAL_04_1,CST_COAL_04,0,8.2314
CST_COAL_04_2,CST_COAL_04,-0.301624291,8.8346
CST_COAL_04_3,CST_COAL_04,-0.754025681,9.4378
CST_COAL_05_1,CST_COAL_05,0,7.3846
CST_COAL_05_2,CST_COAL_05,-0.415392332,8.2154
CST_COAL_05_3,CST_COAL_05,-0.553846166,8.4
CST_COAL_06_1,CST_COAL_06,0,8.5714
CST_COAL_07_1,CST_COAL_07,0,8.0147
CST_COAL_07_2,CST_COAL_07,-0.2936815,8.6021
