DynamicProfile,DayType,Sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
AT_PHOTO,AutumnWD,SEED_2013.10.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008070733,0.033702335,0.064579934,0.10221398,0.142297317,0.182159978,0.225004364,0.267051507,0.312134464,0.355897138,0.399655417,0.441504464,0.477927522,0.511945976,0.542969857,0.571862237,0.597619932,0.62072,0.645398973,0.663997829,0.675594018,0.680321996,0.682177935,0.679300812,0.673108015,0.663384387,0.648460236,0.629221909,0.60690125,0.581910493,0.549405382,0.5155505,0.479468962,0.440995,0.400192488,0.356611921,0.311001852,0.262577392,0.216043317,0.168080228,0.125935527,0.084267159,0.050084491,0.022120091,0,0,0,0.000712891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007920517,0.017712075,0.030564461,0.045903444,0.060075144,0.073765638,0.090629322,0.106262054,0.124407625,0.143208088,0.164062524,0.182608726,0.199037721,0.213196118,0.227812813,0.240968533,0.253009461,0.261787639,0.268248858,0.272061765,0.275854658,0.272967236,0.268846038,0.263480925,0.257294014,0.252300036,0.248696358,0.238066755,0.228966887,0.223981655,0.21734978,0.20843762,0.197036887,0.186667983,0.171686215,0.152530036,0.135951969,0.119962187,0.102416806,0.081846557,0.061773114,0.044246462,0.02967528,0.014328211,0,0,0.00243994,0.006813438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001949328,0.017266354,0.035257547,0.05530076,0.074937452,0.090191943,0.10626292,0.121363574,0.133429048,0.140638018,0.143244673,0.142219692,0.138084902,0.136215198,0.135387832,0.132133281,0.127106942,0.125637569,0.125738545,0.12486375,0.121103587,0.114649366,0.111571153,0.110766768,0.111060852,0.110743962,0.108714336,0.105548906,0.10248482,0.099511702,0.09711625,0.092729697,0.084898076,0.07701349,0.070309307,0.06320084,0.05550332,0.047750654,0.040348086,0.032286221,0.024469815,0.015723883,0.00810786,0.00253848,0,0,0.000650625,0.001954321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231321,0.007817158,0.02056754,0.032344531,0.042371387,0.055011776,0.067524969,0.078934385,0.090050685,0.104020119,0.116351996,0.126459087,0.136805873,0.146009335,0.15637372,0.167552371,0.176506597,0.185712133,0.196613909,0.207618478,0.212910734,0.215255764,0.21524005,0.21653373,0.218241806,0.219318363,0.213654097,0.207916127,0.205065496,0.20149,0.194181359,0.185351101,0.172829792,0.161056895,0.142918482,0.122178859,0.103098234,0.082662143,0.06213869,0.044443301,0.029185466,0.015728906,0.001546894,0,0,0.001959669,0.006622206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001177684,0.011446885,0.024897377,0.040341758,0.056457964,0.074592615,0.095296192,0.117629209,0.140035518,0.161022615,0.182576798,0.202394297,0.220366026,0.239915058,0.257907942,0.274367861,0.291079318,0.306638288,0.321947116,0.333237952,0.3419559,0.347718971,0.350610462,0.35485214,0.353341298,0.348236885,0.338971096,0.325280975,0.311431768,0.293039096,0.274470327,0.257402402,0.234985039,0.20808475,0.183757202,0.160341045,0.134622735,0.108322337,0.080037159,0.055813002,0.033898991,0.015703059,0.003156922,0,0,0,0.00311474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737647,0,0,0.003140625,0.013503589,0.028954896,0.048024146,0.067293739,0.086452937,0.106121646,0.125439259,0.145390083,0.163866934,0.189883036,0.206707781,0.223127285,0.237077349,0.258245453,0.273477044,0.287515932,0.302298432,0.312309159,0.318593879,0.324934498,0.326235693,0.326402682,0.323911648,0.317779632,0.308355318,0.299732136,0.287528579,0.272351528,0.254609387,0.233799663,0.211331632,0.190935313,0.168373221,0.144183912,0.122351406,0.099743281,0.077039764,0.055737368,0.03695487,0.020246667,0.009412905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009668074,0.017764482,0.024861232,0.033305735,0.041125092,0.051052592,0.05975693,0.062792427,0.06711318,0.073579301,0.080047316,0.085976599,0.089022243,0.091048136,0.091176484,0.08945131,0.089287666,0.090265135,0.088567962,0.086907647,0.087428058,0.087821491,0.084309043,0.075583369,0.067661644,0.060106045,0.054852295,0.052637269,0.049911702,0.045831065,0.040064942,0.033829798,0.029269902,0.024446455,0.01589599,0.012885254,0.009636074,0.008024462,0.00604584,0.004303625,0.001052547,0.000668209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000663095,0.004464129,0.009983167,0.015368178,0.018286979,0.022293998,0.026682031,0.029702851,0.033510702,0.038084838,0.038882737,0.04011352,0.041861432,0.044266053,0.047325179,0.053710212,0.059317295,0.065705826,0.071511886,0.077678044,0.08708265,0.096544699,0.105082227,0.114320719,0.125018943,0.133561725,0.142500405,0.146476447,0.143012303,0.14082669,0.143122016,0.142749764,0.134206875,0.123389179,0.113081078,0.099494388,0.083763305,0.068366995,0.051055614,0.032331509,0.013818866,0.0006917,0,0.000784281,0.002667589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001087782,0.008531334,0.018216569,0.030018875,0.042647475,0.053793665,0.067095758,0.077353537,0.083043138,0.087936903,0.096973355,0.108211901,0.121302747,0.132871525,0.141821588,0.146358213,0.14734413,0.151515182,0.157693138,0.158777462,0.156940931,0.150832083,0.149344209,0.148224974,0.149112781,0.151401422,0.150544252,0.148720611,0.147343763,0.144576024,0.142278138,0.137729622,0.130680469,0.12125553,0.105956413,0.09056762,0.076271441,0.058501302,0.042169617,0.023781454,0.006462394,0,0,0,0.000684135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004466146,0,0,0.004775693,0.022152641,0.043575333,0.06939925,0.096062985,0.120572583,0.146953729,0.166564608,0.186468254,0.20452045,0.222679792,0.240317632,0.255800647,0.271562511,0.283740357,0.29469394,0.293024889,0.288628852,0.285346716,0.27917492,0.271887307,0.269160829,0.270030173,0.273747784,0.275893147,0.278221968,0.280928349,0.285929943,0.289274034,0.28404184,0.271649528,0.257475295,0.240372512,0.218892272,0.196032801,0.166072584,0.13283226,0.102025907,0.072741935,0.047825389,0.02626524,0.002978269,0,0,0.001023423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT_PHOTO,AutumnWD,SEED_2013.10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000956227,0.008918426,0.02143006,0.039175417,0.057130096,0.075183925,0.092257018,0.107571513,0.1207296,0.131634853,0.142135208,0.151770108,0.161043627,0.171458353,0.185241338,0.201208563,0.232837368,0.260314792,0.279124043,0.289940048,0.291202946,0.283302925,0.268674605,0.257258875,0.244191125,0.233036334,0.217597019,0.201700047,0.184869977,0.164989729,0.142969976,0.121582936,0.10671345,0.089998786,0.073943775,0.057754607,0.043950943,0.030721179,0.02022441,0.009430162,0.001680241,0,0,0,0.005471964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
