DynamicProfile,DayType,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
Hydro_Niederosterreich,WinterWD,0.681041936,0.675537349,0.670032761,0.671408908,0.668656615,0.668656615,0.670032761,0.660399734,0.653519,0.646638266,0.637005239,0.599849275,0.564069459,0.525537349,0.488381385,0.488381385,0.488381385,0.488381385,0.488381385,0.513152028,0.540674963,0.566821752,0.591592395,0.621867624,0.653519,0.685170376,0.718197899,0.73058322,0.744344688,0.756730009,0.767739184,0.771867624,0.777372211,0.781500651,0.785629092,0.789757532,0.792509826,0.793885972,0.798014413,0.778748358,0.759482303,0.740216248,0.718197899,0.738840101,0.756730009,0.774619917,0.792509826,0.789757532,0.784252945,0.781500651,0.777372211,0.742968541,0.708564872,0.674161202,0.639757532,0.637005239,0.634252945,0.631500651,0.631500651,0.632876798,0.634252945,0.637005239,0.638381385,0.638381385,0.641133679,0.643885972,0.645262119,0.624619917,0.602601569,0.581959367,0.562693312,0.620491477,0.678289642,0.737463954,0.795262119,0.814528174,0.835170376,0.858564872,0.877830927,0.854436431,0.826913495,0.802142853,0.775996064,0.787005239,0.798014413,0.806271294,0.818656615,0.810399734,0.803519,0.793885972,0.787005239,0.795262119,0.802142853,0.809023587,0.815904321,0.770491477
Verbund_Danube,WinterWD,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161,0.770596161
AT_LOAD,AutumnWE,0.640982685,0.637266688,0.639874591,0.636328771,0.630828872,0.622149586,0.623939984,0.618340557,0.619164758,0.615420182,0.61737436,0.61227427,0.612044238,0.609142249,0.611773934,0.609493194,0.608059137,0.6081096,0.610901469,0.61252299,0.622319662,0.626359623,0.629259813,0.631480598,0.636680415,0.644320857,0.645172837,0.650752677,0.674456133,0.685603424,0.682791569,0.686972827,0.700012841,0.705109033,0.705503446,0.710989355,0.712980806,0.71773185,0.718212201,0.723297701,0.729114469,0.73169759,0.732676778,0.736214604,0.73810333,0.742193954,0.742838485,0.737183399,0.729732719,0.719185892,0.721024155,0.715060194,0.722414443,0.718995031,0.7162887,0.714655088,0.716418406,0.712806933,0.712395432,0.710239201,0.717915417,0.7165631,0.715814845,0.717268387,0.735039059,0.742371425,0.743525285,0.751510876,0.758692951,0.761257685,0.76105863,0.761725645,0.745150303,0.739512105,0.737529247,0.734559308,0.714526282,0.711895296,0.70981501,0.704816146,0.692625015,0.682740107,0.6798629,0.673658414,0.665083052,0.65694907,0.651069547,0.652902613,0.675655361,0.67440557,0.668974921,0.6617182,0.662074841,0.650589996,0.650992003,0.650437607
Hydro_Niederosterreich,AutumnWE,0.159482303,0.153977716,0.151225422,0.151225422,0.151225422,0.151225422,0.151225422,0.151225422,0.151225422,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.151225422,0.133335514,0.114069459,0.09617955,0.076913495,0.076913495,0.076913495,0.078289642,0.078289642,0.101684138,0.125078633,0.148473128,0.171867624,0.16911533,0.166363037,0.163610743,0.159482303,0.156730009,0.155353862,0.152601569,0.148473128,0.149849275,0.151225422,0.151225422,0.151225422,0.152601569,0.153977716,0.153977716,0.155353862,0.153977716,0.153977716,0.153977716,0.152601569,0.152601569,0.151225422,0.151225422,0.151225422,0.151225422,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.152601569,0.153977716,0.152601569,0.152601569,0.152601569,0.151225422,0.152601569,0.152601569,0.152601569,0.153977716,0.152601569,0.152601569,0.151225422,0.151225422,0.182876798,0.215904321,0.248931844,0.281959367,0.261317165,0.243427257,0.224161202,0.204895147,0.192509826,0.180124505,0.167739184,0.153977716,0.156730009,0.158106156,0.16085845,0.162234596,0.195262119,0.226913495,0.258564872,0.291592395,0.258564872,0.226913495,0.193885972,0.162234596,0.159482303
Verbund_Danube,AutumnWE,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963,0.10694963
AT_LOAD,SpringWE,0.584394453,0.572910508,0.57066704,0.56185595,0.555115154,0.547159142,0.547770697,0.54140153,0.54861828,0.545509842,0.544614193,0.533493483,0.538965802,0.5370452,0.537464095,0.536184126,0.542615247,0.5439181,0.543854146,0.546670897,0.553465154,0.559066979,0.562714625,0.568876243,0.585806026,0.597337037,0.59571202,0.602606404,0.615820591,0.62758723,0.628822731,0.634236893,0.636458077,0.645944475,0.645968658,0.655836279,0.658815512,0.665299595,0.667080399,0.670957279,0.676110729,0.681548274,0.682219785,0.686396247,0.690821128,0.693916576,0.694517339,0.6926465,0.685972855,0.678228988,0.675713418,0.673952699,0.673509722,0.673356333,0.674086902,0.670892526,0.665025194,0.66068755,0.663522387,0.657586006,0.656153249,0.652105593,0.651965395,0.646980921,0.649646482,0.647536217,0.645537471,0.644883148,0.635568324,0.631941263,0.624450512,0.6232305,0.625622959,0.618961206,0.618468364,0.611951405,0.609726824,0.605060818,0.604393804,0.60472796,0.611322163,0.611856774,0.613815749,0.607488652,0.599935747,0.593942507,0.590423067,0.584734406,0.593197149,0.589157188,0.585789938,0.578616357,0.562138244,0.553192952,0.550855852,0.547441237
Hydro_Niederosterreich,SpringWE,0.577830927,0.535170376,0.489757532,0.427830927,0.365904321,0.302601569,0.239298817,0.23792267,0.236546523,0.235170376,0.233794229,0.248931844,0.261317165,0.275078633,0.287463954,0.299849275,0.31085845,0.321867624,0.334252945,0.308106156,0.281959367,0.257188725,0.231041936,0.231041936,0.231041936,0.231041936,0.231041936,0.232418083,0.232418083,0.233794229,0.233794229,0.236546523,0.239298817,0.24205111,0.244803404,0.301225422,0.35764744,0.411317165,0.46911533,0.513152028,0.558564872,0.605353862,0.650766706,0.650766706,0.653519,0.654895147,0.656271294,0.646638266,0.639757532,0.631500651,0.621867624,0.581959367,0.54205111,0.49939056,0.46085845,0.407188725,0.352142853,0.297096982,0.244803404,0.24205111,0.240674963,0.23792267,0.235170376,0.235170376,0.235170376,0.235170376,0.235170376,0.235170376,0.235170376,0.235170376,0.235170376,0.270950193,0.308106156,0.343885972,0.381041936,0.389298817,0.397555697,0.405812578,0.414069459,0.414069459,0.414069459,0.414069459,0.414069459,0.419574046,0.425078633,0.43058322,0.436087807,0.456730009,0.478748358,0.502142853,0.522785055,0.524161202,0.524161202,0.524161202,0.522785055,0.50764744
Verbund_Danube,SpringWE,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152,0.371424152
AT_LOAD,SummerWE,0.523484565,0.51604058,0.512634159,0.503851648,0.502684697,0.497765875,0.497765376,0.493045709,0.519132931,0.516379434,0.514939282,0.508416627,0.497751786,0.495908127,0.496421254,0.495137487,0.498748161,0.500340802,0.501151812,0.503324831,0.506810795,0.512235549,0.514847448,0.518380778,0.533289232,0.541586396,0.54229558,0.548166109,0.560602562,0.569244475,0.571838887,0.577138432,0.580552848,0.588584505,0.591901991,0.599274228,0.605588634,0.610079867,0.613201696,0.616226395,0.621505655,0.625269716,0.62834358,0.632145314,0.637038654,0.640804715,0.643182385,0.641257785,0.630683178,0.623660587,0.622383416,0.621697015,0.622717573,0.623224104,0.623980055,0.620323315,0.617851513,0.615521708,0.616159544,0.611207147,0.608674589,0.604334647,0.603922546,0.600031177,0.598823556,0.59502412,0.591624493,0.590733341,0.585454582,0.582146089,0.576778194,0.574589686,0.579946589,0.573304221,0.569911789,0.566902478,0.569808264,0.568636217,0.567940423,0.569310926,0.570770664,0.570436208,0.570736189,0.564355831,0.553412492,0.545135414,0.541001222,0.534954521,0.542807108,0.539016965,0.531704785,0.524346538,0.511071795,0.502657117,0.498773442,0.496722934
Hydro_Niederosterreich,SummerWE,0.393427257,0.415445606,0.437463954,0.42645478,0.416821752,0.408564872,0.398931844,0.376913495,0.35764744,0.337005239,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.313610743,0.313610743,0.313610743,0.31498689,0.31498689,0.31498689,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.317739184,0.317739184,0.317739184,0.31911533,0.320491477,0.31911533,0.31911533,0.31911533,0.317739184,0.317739184,0.317739184,0.317739184,0.317739184,0.317739184,0.316363037,0.31498689,0.31498689,0.31498689,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.316363037,0.317739184,0.317739184,0.317739184,0.317739184,0.316363037,0.312234596,0.309482303,0.308106156,0.308106156,0.309482303,0.309482303,0.309482303,0.309482303,0.309482303,0.309482303,0.309482303,0.327372211,0.346638266,0.364528174,0.385170376,0.39617955,0.409941018,0.423702486,0.434711661,0.437463954,0.440216248,0.440216248,0.441592395,0.438840101,0.433335514,0.429207073,0.42645478,0.400307991,0.375537349,0.350766706,0.325996064,0.320491477
