Line,Time,Flow,Limit
Cro_10.To.Cro_8,14,-75.6308400332543,734.0
Cro_10.To.Cro_8,15,-73.31469568158947,734.0
Cro_10.To.Cro_8,16,-71.78811975920148,734.0
Cro_10.To.Cro_8,17,-98.91505996466807,734.0
Cro_10.To.Cro_8,18,-94.48432777599179,734.0
Cro_10.To.Cro_8,19,-112.54434606747667,734.0
Cro_10.To.Cro_8,20,-104.88076496297641,734.0
Cro_10.To.Cro_8,21,-181.6443814957824,734.0
Cro_10.To.Cro_8,22,-224.665026887147,734.0
Cro_10.To.Cro_8,23,-288.36250547242685,734.0
Cro_10.To.Cro_8,24,-278.4982692087042,734.0
Cro_10.To.Cro_8,25,-267.04207256081355,734.0
Cro_10.To.Cro_8,26,-270.0263812630281,734.0
Cro_10.To.Cro_8,27,-262.2207479699352,734.0
Cro_10.To.Cro_8,28,-248.05713371725128,734.0
Cro_10.To.Cro_8,29,-35.6261920764149,734.0
Cro_10.To.Cro_8,30,-47.18868154709227,734.0
Cro_10.To.Cro_8,31,-69.98714992409938,734.0
Cro_10.To.Cro_8,32,-107.08859980688295,734.0
Cro_10.To.Cro_8,33,-107.50698558918721,734.0
Cro_10.To.Cro_8,34,-106.47105265520594,734.0
Cro_10.To.Cro_8,35,-111.47557051767188,734.0
Cro_10.To.Cro_8,36,-111.86823014764593,734.0
Cro_10.To.Cro_8,37,-112.93467424281566,734.0
Cro_10.To.Cro_8,38,-126.31500634933022,734.0
Cro_10.To.Cro_8,39,-108.76956167401124,734.0
Cro_10.To.Cro_8,40,-111.371618361635,734.0
Cro_10.To.Cro_8,41,-110.04466675583942,734.0
Cro_10.To.Cro_8,42,-63.28786891188025,734.0
Cro_10.To.Cro_8,43,-81.86308492940552,734.0
Cro_10.To.Cro_8,44,-48.635521707529456,734.0
Cro_10.To.Cro_8,45,-38.27993208927974,734.0
Cro_10.To.Cro_8,46,-22.19467807070515,734.0
Cro_10.To.Cro_8,47,-58.58812201279158,734.0
Cro_10.To.Cro_8,48,-75.85140476292975,734.0
Cro_10.To.Cro_8,49,-42.807659927831864,734.0
Cro_10.To.Cro_8,50,-39.26977801005087,734.0
Cro_10.To.Cro_8,51,-20.523949599046006,734.0
Cro_10.To.Cro_8,52,-19.617392363702578,734.0
Cro_10.To.Cro_8,53,-68.95330848007416,734.0
Cro_10.To.Cro_8,54,-43.21451226208336,734.0
Cro_10.To.Cro_8,55,-24.637329844559027,734.0
Cro_10.To.Cro_8,56,-29.503882945511222,734.0
Cro_10.To.Cro_8,57,-94.69799992952814,734.0
Cro_10.To.Cro_8,58,-90.71272964949603,734.0
Cro_10.To.Cro_8,59,-87.77176135450651,734.0
Cro_10.To.Cro_8,60,-104.78257821585623,734.0
Cro_10.To.Cro_8,61,-133.10431611002187,734.0
Cro_10.To.Cro_8,62,-140.5815720343804,734.0
Cro_10.To.Cro_8,63,-157.70529632132858,734.0
Cro_10.To.Cro_8,64,-158.22922817004047,734.0
Cro_10.To.Cro_8,65,-104.9110949209589,734.0
Cro_10.To.Cro_8,66,-122.9189018299304,734.0
Cro_10.To.Cro_8,67,-124.83965816916813,734.0
Cro_10.To.Cro_8,68,-120.68844935678013,734.0
Cro_10.To.Cro_8,69,-91.77334374579999,734.0
