zone,bus,fuel,generator,time,value
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,83,60.54358103592426
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,84,151.35895258981066
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,85,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,86,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,87,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,88,350.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,89,210.1479328449592
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,90,210.1479328449592
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,91,84.05917313798375
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,92,84.05917313798375
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,93,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,94,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,95,0.0
Belgium,Fra_13,Natural Gas,Saint-Ghislain CCGT Power Plant Belgium,96,0.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,1,261.2602023926135
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,2,259.5283970095709
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,3,178.59760855194156
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,4,230.88917797553898
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,5,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,6,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,7,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,8,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,9,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,10,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,11,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,12,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,13,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,14,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,15,52.2520404785227
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,16,261.2602023926135
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,17,203.0830123038507
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,18,312.7441278993942
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,19,347.3790723982802
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,20,382.06987444168163
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,21,416.8165340296001
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,22,435.27488109405317
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,23,453.9008007920575
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,24,472.63843557909763
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,25,491.65535808872386
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,26,496.70466846813594
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,27,502.3125542927235
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,28,507.86458257279213
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,29,513.1373231302734
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,30,510.51946263270696
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,31,508.1808898577272
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,32,505.7864595382294
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,33,503.11274149614394
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,34,495.2160042562283
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,35,487.4309821053496
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,36,479.64595995446626
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,37,471.7492227145532
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,38,469.59972788443406
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,39,467.56194814334987
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,40,465.412453313231
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,41,463.20710093859907
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,42,449.50100858013866
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,43,435.7390586771615
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,44,421.9212512296689
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,45,408.21515887121075
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,46,406.78966543897315
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,47,405.2524569177005
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,48,403.4359606738415
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,49,402.4573275977447
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,50,403.3141515804443
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,51,404.3385481966966
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,52,404.9160844568075
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,53,406.10805370661166
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,54,413.0665156340153
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,55,419.8574049278694
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,56,426.6482942217233
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,57,433.6067561491265
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,58,444.90865326886626
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,59,456.1546928440853
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,60,467.2890173302702
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,61,478.64677199452626
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,62,497.15418343172115
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,63,515.4381646908482
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,64,533.8897185835256
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,65,552.2295573871676
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,66,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,67,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,68,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,69,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,70,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,71,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,72,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,73,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,74,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,75,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,76,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,77,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,78,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,79,556.0
Belgium,Bel_9,Coal,Langerlo Thermal Power Plant Belgium,80,556.0
