zone,fuel,cost
Aus_27,Waste,0.0
Aus_28,Natural Gas,0.0
Aus_28,Coal,0.0
Aus_28,Fuel Oil,0.0
Aus_28,Nuclear,0.0
Aus_28,Lignite,0.0
Aus_28,Waste,0.0
Aus_29,Natural Gas,0.0
Aus_29,Coal,0.0
Aus_29,Fuel Oil,0.0
Aus_29,Nuclear,0.0
Aus_29,Lignite,0.0
Aus_29,Waste,0.0
Aus_30,Natural Gas,0.0
Aus_30,Coal,0.0
Aus_30,Fuel Oil,0.0
Aus_30,Nuclear,0.0
Aus_30,Lignite,0.0
Aus_30,Waste,0.0
Aus_31,Natural Gas,0.0
Aus_31,Coal,0.0
Aus_31,Fuel Oil,0.0
Aus_31,Nuclear,0.0
Aus_31,Lignite,0.0
Aus_31,Waste,0.0
Aus_32,Natural Gas,740464.2152663041
Aus_32,Coal,0.0
Aus_32,Fuel Oil,0.0
Aus_32,Nuclear,0.0
Aus_32,Lignite,0.0
Aus_32,Waste,0.0
Aus_33,Natural Gas,0.0
Aus_33,Coal,0.0
Aus_33,Fuel Oil,0.0
Aus_33,Nuclear,0.0
Aus_33,Lignite,0.0
Aus_33,Waste,0.0
Aus_34,Natural Gas,0.0
Aus_34,Coal,0.0
Aus_34,Fuel Oil,0.0
Aus_34,Nuclear,0.0
Aus_34,Lignite,0.0
Aus_34,Waste,0.0
Aus_35,Natural Gas,0.0
Aus_35,Coal,0.0
Aus_35,Fuel Oil,0.0
Aus_35,Nuclear,0.0
Aus_35,Lignite,0.0
Aus_35,Waste,0.0
Aus_36,Natural Gas,0.0
Aus_36,Coal,0.0
Aus_36,Fuel Oil,0.0
Aus_36,Nuclear,0.0
Aus_36,Lignite,0.0
Aus_36,Waste,0.0
