Line,Slv_2,Slv_3,Slv_4,Slv_5,Slv_6,Slv_7,Cro_1,Cro_2,Cro_3,Cro_4,Cro_5,Cro_6,Cro_7,Cro_8,Cro_9,Cro_10,Cro_11,Cro_12,Cro_13,Cro_14,Cro_15,Cro_16,Cro_18,Aus_1,Aus_2,Aus_3,Aus_4,Aus_5,Aus_6,Aus_7,Aus_8,Aus_9,Aus_10,Aus_11,Aus_12,Aus_13,Aus_14,Aus_15,Aus_16,Aus_17,Aus_18,Aus_19,Aus_20,Aus_21,Aus_22,Aus_23,Aus_24,Aus_25,Aus_26,Aus_27,Aus_28,Aus_29,Aus_30,Aus_31,Aus_32,Aus_33,Aus_34,Aus_35,Aus_36
Cro_2.To.Cro_14,-0.031161474013377287,-0.012381624598478799,0.04964078046129927,0.04964078046129927,0.015167671591324398,0.11550228297021371,0.07428734771428064,-0.6671771027405716,0.005857026470209799,-0.17752979867210067,-0.17752979867210067,-0.17752979867210011,-0.17752979867210034,-0.044020126834529986,-0.1841507036568413,0.07428734771428008,0.07428734771428053,-0.18415070365684108,-0.18415070365684108,0.1576561309774441,0.15765613097744355,-0.2159360264514959,-0.17752979867210078,-0.010525235556901087,-0.010390262531371082,-0.01052523555690098,-0.010208556436088492,-0.010363077025502982,-0.010258090997192857,-0.010489343434488433,-0.010401693813302276,-0.010479232051827533,-0.009114655902752416,-0.010418210067361204,-0.010910107922720241,-0.010525235556900592,-0.010525235556900757,-0.010208556436088492,-0.010525235556900592,-0.01052523555690098,-0.007948531023716903,-0.010525235556900757,-0.010525235556900922,-0.010895476262294475,-0.011128865591361553,-0.01052523555690098,-0.010256044693915285,-0.010895476262294475,-0.011569348997516087,-0.010967421324721817,-0.010525235556901087,-0.011293648825731833,-0.010390262531371082,-0.009933217099178335,-0.009933217099178335,-0.010266218424795184,-0.010363077025502924,-0.01022121673224006,-0.010340500162405342
Slv_3.To.Slv_2,0.8048813409164856,-0.09758457823949886,0.1453944772077275,0.1453944772077275,0.11954253848856823,0.4034135858593068,0.5854885550414659,0.5861570339282958,0.5941311698972381,0.6250287870193038,0.6250287870193038,0.6250287870193045,0.6250287870193039,0.7380992887234296,0.6512086834218287,0.5854885550414659,0.5854885550414655,0.6512086834218292,0.6512086834218292,0.5685555561261982,0.5685555561261978,0.6314995949419007,0.6250287870193041,-0.08295362733075429,-0.08188985046809419,-0.08295362733075418,-0.08045775143046864,-0.08167559052964354,-0.0808481532888993,-0.08267074703504845,-0.08197994501240136,-0.08259105514933994,-0.07183628004498625,-0.08211011627333785,-0.08598696170426423,-0.08295362733075484,-0.08295362733075443,-0.08045775143046864,-0.08295362733075462,-0.08295362733075469,-0.0626455794555635,-0.08295362733075487,-0.08295362733075429,-0.08587164368600689,-0.08771107913822888,-0.08295362733075513,-0.08083202554728813,-0.08587164368600689,-0.09118270655426414,-0.08643867174581617,-0.08295362733075455,-0.0890098022822817,-0.08188985046809401,-0.07828769104369003,-0.07828769104369003,-0.08091220882446125,-0.08167559052964357,-0.08055753233163529,-0.08149765316400787
Aus_6.To.Aus_11,0.021024282335644177,0.02222523787542246,0.020985458574309602,0.020985458574309602,0.0036519179797550004,0.019668938721974658,0.017886153398868763,0.018969133477503425,0.019033835060132915,0.019284536168701148,0.019284536168701148,0.019284536168701148,0.019284536168701124,0.020201982326816584,0.019496958020663983,0.017886153398868763,0.017886153398868763,0.01949695802066379,0.01949695802066379,0.018826316315261098,0.018826316315261098,0.01933703985250035,0.019284536168701148,0.15395183815968252,0.039473243867005285,0.1539518381596822,-0.14276296287767287,0.016415610797486865,-0.6194316036053117,0.12350960939699504,0.07810805240869628,0.18054164038254628,-0.2853229430462472,0.2896567651727739,0.17852912799715084,0.15395183815968208,0.15395183815968408,-0.14276296287767287,0.15395183815968208,0.1539518381596842,-0.07212633397754431,0.15395183815968308,0.1539518381596833,0.10985547464965152,0.12910825216821903,0.1539518381596832,-0.09236442131240667,0.10985547464965152,0.029595966014000063,0.10128668256568789,0.15395183815968252,0.06243237437660937,0.0394732438670044,-0.434976273088903,-0.434976273088903,-0.08156720065021883,0.016415610797486865,-0.12932678957880947,-0.002733160157317547
Aus_3.To.Aus_16,-2.564824820827566e-16,-1.4987703702965029e-16,-2.451224941092351e-16,-2.451224941092351e-16,7.306787279519738e-18,-1.52819086872384e-16,-1.103403641892112e-16,5.520487850331343e-17,1.0306348009892445e-16,1.1785803574896847e-18,1.1785803574896847e-18,1.1785803574896847e-18,-1.6727096583223827e-17,-1.750620335649188e-16,6.560376911208245e-17,9.37985637951066e-17,-3.50290646054956e-16,1.0141512299350948e-16,1.0141512299350948e-16,1.0239932130418604e-16,1.0239932130418604e-16,5.09202617808105e-17,-1.6727096583223827e-17,-0.9164335420526188,-2.0593518536032763e-15,-0.9164335420526156,-1.8152969573814408e-15,-5.333269455987794e-16,-8.290031580723301e-16,-2.878593154262823e-16,-1.3440048968716487e-15,-1.3370368939618195e-15,-1.1252612901045653e-15,-6.024465298196798e-16,-3.7441975591100135e-16,-1.05124936181051e-15,-0.32795343229265417,-1.886919665144295e-15,-1.8990386791262163e-15,-0.7296672094994889,-3.962939075119726e-16,-1.7557932636005082e-15,-0.916433542052619,-2.979367541641893e-16,-5.489742485221089e-16,-0.9164335420526175,-1.9646224631443423e-15,-2.979367541641893e-16,-1.8593549485014605e-16,4.4074114561329984e-16,-0.9164335420526188,-3.330455316171942e-16,-1.099550726140297e-15,-6.620928342604705e-16,-6.620928342604705e-16,-1.0751357848892206e-15,-5.333269455987794e-16,-5.884059519125439e-16,-1.1866851505970206e-15
Cro_5.To.Cro_18,-1.0286954704544332e-16,-3.6797215037434305e-16,-4.3002370652665713e-16,-4.3002370652665713e-16,-9.172569678121086e-17,-2.5311022447162895e-16,-5.575411091520311e-16,-8.528408191554083e-16,-9.602425224543525e-16,-2.1825647316247303e-16,-2.1825647316247303e-16,0.2891976099708461,0.3825267114826694,-1.5741045271690233e-16,-7.389014512689524e-16,-5.575411091520311e-16,-1.0016303190020937e-15,-7.728653940374147e-16,-7.728653940374147e-16,-7.212032377723984e-16,-2.771140279223358e-16,-1.0608218571116357e-15,0.5638561334025951,-3.8645275010019366e-16,-4.662760660494422e-16,-1.5591715948304675e-16,-3.565811197050899e-16,-3.4798324202129247e-16,-6.3420431829027e-16,-3.471853022345415e-16,-4.543098725697183e-16,-4.674201939624903e-16,-5.089216553159067e-16,-7.060471628101808e-16,-6.13241667125002e-16,-5.660424265646469e-16,-5.830243979488782e-16,-3.4809013401297425e-16,-3.6097979302384687e-16,-3.6947077871596245e-16,-4.076815643228406e-16,-5.745334122567625e-16,-3.8645275010019366e-16,-6.729514293822707e-16,-3.722176439806654e-16,-3.6947077871596245e-16,-4.3353451075238984e-16,-6.729514293822707e-16,-6.467345072748975e-16,-6.830802668252456e-16,-3.8645275010019366e-16,-4.530251953699141e-16,-4.747670517415578e-16,-6.147394417215918e-16,-6.147394417215918e-16,-4.906965240690881e-16,-3.564742277134081e-16,-3.9338519141295347e-16,-4.708070257939336e-16
Cro_3.To.Cro_14,-0.03442733379816211,-0.013679273414100218,0.05484335298801196,0.05484335298801196,0.016757310408077975,0.12760743116831516,0.08207298909036605,0.05876009052976058,-0.5872060822988696,-0.29893825740563745,-0.29893825740563745,-0.2989382574056375,-0.29893825740563745,-0.048633630094623306,-0.20345050883147878,0.08207298909036607,0.08207298909036652,-0.2034505088314788,-0.2034505088314788,0.1741791881910707,0.17417918819107026,-0.23856707351208897,-0.29893825740563745,-0.011628326621075392,-0.011479207827732587,-0.011628326621075593,-0.011278458133004564,-0.011449173161060726,-0.011333184134378869,-0.011588672846081133,-0.011491837158380511,-0.01157750174596303,-0.010069912003672452,-0.011510084388640934,-0.012053535306712245,-0.011628326621075363,-0.011628326621075371,-0.011278458133004564,-0.011628326621075585,-0.011628326621075371,-0.008781572098966501,-0.011628326621075371,-0.01162832662107516,-0.012037370183802694,-0.012295219742949049,-0.011628326621075371,-0.011330923369501488,-0.012037370183802694,-0.012781867750990387,-0.012116855405786782,-0.011628326621075392,-0.012477272986373722,-0.011479207827732587,-0.010974262020346202,-0.010974262020346202,-0.011342163352206627,-0.011449173161060736,-0.01129244528397839,-0.011424230143228893
Aus_13.To.Aus_7,-0.003573589947694651,-0.0037777216548353877,-0.0035669909018380018,-0.0035669909018380018,-0.0006207325973801649,-0.003343216219062288,-0.003040188338831563,-0.003224267236782535,-0.003235264849999192,-0.003277877622561488,-0.003277877622561488,-0.0032778776225616765,-0.003277877622561599,-0.0034338199903365843,-0.0033139839011362263,-0.0030401883388313745,-0.0030401883388311854,-0.003313983901136493,-0.003313983901136493,-0.003199991974150476,-0.003199991974150476,-0.0032868019051431933,-0.003277877622561599,-0.0975921510452518,0.4748807549516026,-0.09759215104525207,0.23843114120932749,0.3887706579355673,0.027099280559091773,0.78871954173623,0.1621118515189162,-0.03447378867973643,0.04849759838832655,0.0040156613174880005,0.00015008507943640865,-0.09759215104525171,-0.09759215104525233,0.23843114120932735,-0.09759215104525247,-0.09759215104525296,0.01225963093300347,-0.09759215104525158,-0.09759215104525118,-0.06476997999597625,-0.0015690206994986408,-0.0975921510452522,0.2668021074057872,-0.06476997999597625,-0.005030556808145395,-0.05839198559737837,-0.0975921510452518,-0.02947162464532091,0.47488075495160276,0.07393483459652003,0.07393483459652003,0.27288021151175496,0.3887706579355682,0.24599479695476537,0.3172584381129754
Aus_4.To.Aus_24,0.00444966298698564,0.004703838008470669,0.004441446171254638,0.004441446171254638,0.0007729064900576137,0.004162812657632511,0.0037854968596746645,0.004014703083916458,0.004028396784981894,0.0040814561677368225,0.0040814561677368225,0.0040814561677368225,0.004081456167736978,0.004275628132665029,0.0041264139759138695,0.0037854968596746645,0.0037854968596746645,0.004126413975913825,0.004126413975913825,0.003984476689950039,0.003984476689950039,0.004092568256832363,0.004081456167736756,0.09217415220605615,0.19257959911743672,0.09217415220605607,-0.3370216920283984,0.21280269818121972,-0.01908874533885964,0.11887403966345658,0.16428133005790727,0.08151951226539383,-0.060386885922767745,0.016876309793633183,0.012341438649952841,0.09217415220605688,0.09217415220605651,-0.3370216920283982,0.0921741522060567,0.09217415220605722,-0.0152651050610514,0.0921741522060551,0.09217415220605678,0.06171050229493748,0.01032468287804788,0.09217415220605651,0.5069989223260332,0.06171050229493748,0.0062638083162207545,0.05579081501397503,0.09217415220605615,0.02894860064540038,0.19257959911743583,-0.09206011371427944,-0.09206011371427944,-0.08939804103270288,0.21280269818121955,-0.28265331476545746,0.2295974615813127
Cro_3.To.Cro_5,0.03442733379816118,0.013679273414100017,-0.05484335298801227,-0.05484335298801227,-0.016757310408078423,-0.1276074311683157,-0.08207298909036816,-0.05876009052976053,-0.41279391770113083,0.2989382574056373,0.2989382574056373,0.29893825740563684,0.298938257405637,0.04863363009462215,0.2034505088314786,-0.08207298909036771,-0.08207298909036692,0.2034505088314789,0.2034505088314789,-0.17417918819107106,-0.17417918819107142,0.23856707351208814,0.29893825740563734,0.01162832662107552,0.011479207827732566,0.011628326621075281,0.01127845813300471,0.01144917316106053,0.011333184134378959,0.01158867284608074,0.011491837158380222,0.0115775017459629,0.01006991200367258,0.011510084388640885,0.012053535306712023,0.011628326621075262,0.011628326621075503,0.011278458133004534,0.011628326621075326,0.011628326621075503,0.008781572098966604,0.011628326621075326,0.011628326621075854,0.012037370183802212,0.012295219742948714,0.011628326621075503,0.011330923369501618,0.012037370183802212,0.012781867750990453,0.012116855405786706,0.01162832662107552,0.01247727298637326,0.011479207827732743,0.01097426202034644,0.01097426202034644,0.011342163352206718,0.011449173161060594,0.011292445283978667,0.011424230143229094
Aus_25.To.Aus_21,-2.5209176012589175e-17,-4.6180401923311094e-17,-1.9128154400627886e-17,-1.9128154400627886e-17,-3.488994197696885e-18,4.313667074890747e-17,2.518291849096516e-17,-2.6540567647884677e-17,1.652541854819457e-17,1.6890619779612725e-17,1.6890619779612725e-17,1.6890619779612725e-17,-4.098308604830238e-17,-8.952234490163259e-18,2.972889126370507e-17,-3.2690787336949946e-17,-3.2690787336949946e-17,-2.3419705370895476e-17,-2.3419705370895476e-17,-3.0656534769680494e-17,2.7217171058234612e-17,4.658563991901557e-17,-4.098308604830238e-17,9.701949186154966e-17,-3.6423250584137414e-18,7.811905508829143e-17,1.6282242990692665e-16,-1.3428172314934787e-16,-1.238012834355723e-16,-2.0112310696346793e-16,1.143767947433285e-16,-8.908095632431551e-17,-1.018437659235736e-16,-1.3821154975751594e-16,-1.1666954951648414e-16,5.92186183150332e-17,7.811905508829143e-17,1.6282242990692665e-16,-1.53375768223369e-16,-1.3447533145011076e-16,-4.216745909043314e-18,-1.53375768223369e-16,7.811905508829143e-17,0.9999999999999999,-1.039326954336966e-16,7.811905508829143e-17,-1.1393251656862526e-16,-5.844172795642694e-17,2.2871399891284623e-17,-2.2016804646691303e-16,9.701949186154966e-17,2.1024298670250836e-16,-2.1623671159681593e-16,-6.134688663323501e-17,-6.134688663323501e-17,6.296259044014107e-17,-1.8534311493517654e-17,7.930503706692099e-17,1.3005578060231123e-16
