"Load","BusLoad","DynamicProfileLoad","ReferenceValueLoad","LoadValuation"
"Load_D-107","D-107","DE_LOAD",356.49,3000
"Load_D-98","D-98","DE_LOAD",351.85,3000
"Load_D-117","D-117","DE_LOAD",351.85,3000
"Load_D-116","D-116","DE_LOAD",680.77,3000
"Load_D-115","D-115","DE_LOAD",424.49,3000
"Load_D-118","D-118","DE_LOAD",344.83,3000
"Load_D-120","D-120","DE_LOAD",680.77,3000
"Load_D-114","D-114","DE_LOAD",424.52,3000
"Load_D-147","D-147","DE_LOAD",680.77,3000
"Load_D-125","D-125","DE_LOAD",351.85,3000
"Load_D-124","D-124","DE_LOAD",356.49,3000
"Load_D-123","D-123","DE_LOAD",680.77,3000
"Load_D-97","D-97","DE_LOAD",680.77,3000
"Load_D-101","D-101","DE_LOAD",680.77,3000
"Load_D_233","D_233","DE_LOAD",468.12,3000
"Load_D-113","D-113","DE_LOAD",351.85,3000
"Load_D-72","D-72","DE_LOAD",680.77,3000
"Load_D-138","D-138","DE_LOAD",356.49,3000
"Load_D_Tienge","D_Tienge","DE_LOAD",400.03,3000
"Load_D-130","D-130","DE_LOAD",356.49,3000
"Load_D-133","D-133","DE_LOAD",356.49,3000
"Load_D_Siersd","D_Siersd","DE_LOAD",385.44,3000
"Load_D-137","D-137","DE_LOAD",680.77,3000
"Load_D-135","D-135","DE_LOAD",424.52,3000
"Load_D-131","D-131","DE_LOAD",687.3,3000
"Load_D-143","D-143","DE_LOAD",356.49,3000
"Load_D-142","D-142","DE_LOAD",468.12,3000
"Load_D-144","D-144","DE_LOAD",324.87,3000
"Load_D-141","D-141","DE_LOAD",324.87,3000
"Load_D-145","D-145","DE_LOAD",324.87,3000
"Load_D-150","D-150","DE_LOAD",468.12,3000
"Load_D-146","D-146","DE_LOAD",324.87,3000
"Load_D-140","D-140","DE_LOAD",468.12,3000
"Load_D-153","D-153","DE_LOAD",356.49,3000
"Load_D-82","D-82","DE_LOAD",351.85,3000
"Load_D-152","D-152","DE_LOAD",356.49,3000
"Load_D-157","D-157","DE_LOAD",356.49,3000
"Load_D-78","D-78","DE_LOAD",711.69,3000
"Load_D-156","D-156","DE_LOAD",468.12,3000
"Load_D-139","D-139","DE_LOAD",332.34,3000
"Load_D-151","D-151","DE_LOAD",458.2,3000
"Load_D-127","D-127","DE_LOAD",680.77,3000
"Load_D_Gronau","D_Gronau","DE_LOAD",778.75,3000
"Load_D-163","D-163","DE_LOAD",400.03,3000
"Load_D-69","D-69","DE_LOAD",391.08,3000
"Load_D-162","D-162","DE_LOAD",324.87,3000
"Load_D-171","D-171","DE_LOAD",400.03,3000
"Load_D-174","D-174","DE_LOAD",468.12,3000
"Load_D-61","D-61","DE_LOAD",680.77,3000
"Load_D-173","D-173","DE_LOAD",213.01,3000
"Load_D-160","D-160","DE_LOAD",324.87,3000
"Load_D-178","D-178","DE_LOAD",324.87,3000
"Load_D-177","D-177","DE_LOAD",800.07,3000
"Load_D-180","D-180","DE_LOAD",332.07,3000
"Load_D-42","D-42","DE_LOAD",390.01,3000
"Load_D_oberbr","D_oberbr","DE_LOAD",468.12,3000
"Load_D-45","D-45","DE_LOAD",324.79,3000
