"DynamicProfile","DayType","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"CEN_LOAD","AutumnWD",0.257123397,0.253150187,0.249176978,0.242592803,0.236008628,0.237597911,0.239300715,0.231808378,0.22431604,0.225224203,0.226018844,0.229992054,0.233851743,0.225564763,0.217277784,0.215915541,0.214666818,0.215802021,0.217050744,0.218753548,0.220456351,0.226245885,0.231921898,0.23714383,0.242365762,0.255080032,0.267907822,0.277102963,0.286411624,0.297082529,0.307753434,0.299920536,0.292087638,0.296514928,0.300942218,0.300715178,0.300374617,0.298898853,0.29742309,0.292087638,0.286638665,0.283573618,0.280508571,0.285730503,0.290952435,0.286071064,0.281189692,0.281530253,0.281870814,0.276081281,0.270291747,0.269497105,0.268702463,0.265069815,0.261323646,0.263934612,0.266432058,0.266772619,0.26711318,0.270972869,0.274719037,0.269497105,0.264161653,0.264956295,0.265637416,0.260983085,0.256328755,0.259053241,0.261664207,0.264956295,0.268134862,0.281076172,0.294017482,0.299579975,0.305028948,0.309002157,0.312861846,0.312294245,0.311726643,0.303553184,0.295266205,0.285957543,0.276648882,0.272789193,0.268929504,0.273129754,0.277443524,0.274946078,0.272448632,0.269610625,0.266772619,0.266091497,0.265523896,0.264615734,0.263594052,0.270972869
"FRC_LOAD","AutumnWD",0.626021004,0.620770128,0.616102684,0.613768961,0.61201867,0.630105018,0.648774796,0.645274212,0.64235706,0.657526254,0.672695449,0.655192532,0.637689615,0.629521587,0.621353559,0.613768961,0.606767795,0.613768961,0.620186698,0.614935823,0.610268378,0.620186698,0.629521587,0.647607935,0.665694282,0.685530922,0.705367561,0.732205368,0.758459743,0.767794632,0.777129522,0.784714119,0.791715286,0.795215869,0.799299883,0.803967328,0.809218203,0.812135356,0.815635939,0.81621937,0.8168028,0.823803967,0.830805134,0.833722287,0.83663944,0.840140023,0.843057176,0.84655776,0.850058343,0.843640607,0.837806301,0.834305718,0.830221704,0.828471412,0.82613769,0.831388565,0.836056009,0.853558926,0.870478413,0.845390898,0.820886814,0.813885648,0.807467911,0.801050175,0.795215869,0.801050175,0.806884481,0.80571762,0.804550758,0.809218203,0.813302217,0.824387398,0.834889148,0.84655776,0.858226371,0.865810968,0.873395566,0.855892649,0.838389732,0.8168028,0.795215869,0.793465578,0.791715286,0.783547258,0.77537923,0.77537923,0.774795799,0.762543757,0.750291715,0.739206534,0.728704784,0.713535589,0.698949825,0.684947491,0.670361727,0.66336056
"HNOR_LOAD","AutumnWD",0.664442326,0.649507467,0.634254846,0.627264061,0.620273276,0.620908802,0.621862091,0.617095647,0.612329202,0.604067366,0.595805529,0.591674611,0.587225929,0.580552908,0.573562123,0.571973308,0.570702256,0.570702256,0.570384493,0.574515412,0.578328567,0.588814744,0.599618684,0.611693677,0.623768669,0.646012075,0.668573244,0.68859231,0.708929139,0.712742294,0.716873213,0.715602161,0.714648872,0.714331109,0.713695583,0.717508738,0.721004131,0.720050842,0.719415316,0.719415316,0.719097553,0.715919924,0.713060057,0.714966635,0.717190976,0.713060057,0.708611376,0.710835717,0.712742294,0.721004131,0.728948205,0.712424531,0.696218621,0.695265332,0.694312043,0.686685732,0.679377185,0.673021926,0.666666667,0.669844296,0.672704163,0.663171274,0.653320623,0.65300286,0.652685097,0.659040356,0.665395615,0.665395615,0.665713378,0.664442326,0.662853511,0.697807436,0.732443597,0.742612011,0.752462663,0.774388306,0.795996187,0.782967906,0.769939625,0.75754687,0.745154115,0.736892278,0.728948205,0.717508738,0.706069272,0.724817286,0.7435653,0.739752145,0.736256752,0.73276136,0.729265968,0.715602161,0.702256117,0.690181125,0.67778837,0.686685732
"IFR_LOAD","AutumnWD",0.592988457,0.579307396,0.565555081,0.547527433,0.529499786,0.515034915,0.500498789,0.488884139,0.477198233,0.478124555,0.479050876,0.471854069,0.464657261,0.460453185,0.456177854,0.455109021,0.453968933,0.456747898,0.459455608,0.464799772,0.470072681,0.480404731,0.490808038,0.502493943,0.514108593,0.538976771,0.563773692,0.585007838,0.606241984,0.635955537,0.665669089,0.676998717,0.68825709,0.69303121,0.697734074,0.70322075,0.708636169,0.711201368,0.713766567,0.711415135,0.709134958,0.706926037,0.704717116,0.703292005,0.70193815,0.697734074,0.693529999,0.697377797,0.701225595,0.700370529,0.699444207,0.69303121,0.686618213,0.683839248,0.680989027,0.676428673,0.671797064,0.675431096,0.679065128,0.671369531,0.663673935,0.661465014,0.659327348,0.658401026,0.657474704,0.66103748,0.664600257,0.669659399,0.674647285,0.68761579,0.700655551,0.718754453,0.736853356,0.746045319,0.755237281,0.766281887,0.777326493,0.777255237,0.777183982,0.769203363,0.761151489,0.744121419,0.727162605,0.712270201,0.697449052,0.681131538,0.664885279,0.651417985,0.637950691,0.638663246,0.639375802,0.656833405,0.674291008,0.660609947,0.646928887,0.631893972
"LIM_LOAD","AutumnWD",0.550259067,0.584455959,0.61865285,0.604145078,0.588601036,0.598963731,0.609326425,0.596891192,0.584455959,0.570984456,0.557512953,0.551295337,0.54507772,0.52746114,0.50984456,0.501554404,0.494300518,0.494300518,0.494300518,0.494300518,0.494300518,0.510880829,0.52746114,0.547150259,0.565803109,0.573056995,0.580310881,0.623834197,0.667357513,0.683937824,0.700518135,0.705699482,0.70984456,0.704663212,0.698445596,0.699481865,0.700518135,0.702590674,0.705699482,0.697409326,0.688082902,0.693264249,0.698445596,0.705699482,0.712953368,0.706735751,0.701554404,0.69015544,0.678756477,0.671502591,0.664248705,0.683937824,0.704663212,0.681865285,0.659067358,0.671502591,0.683937824,0.67253886,0.661139896,0.665284974,0.669430052,0.665284974,0.661139896,0.65492228,0.647668394,0.626943005,0.606217617,0.614507772,0.622797927,0.626943005,0.631088083,0.666321244,0.701554404,0.725388601,0.749222798,0.747150259,0.74507772,0.737823834,0.729533679,0.713989637,0.698445596,0.680829016,0.663212435,0.645595855,0.627979275,0.633160622,0.637305699,0.623834197,0.611398964,0.641450777,0.671502591,0.67357513,0.675647668,0.679792746,0.683937824,0.648704663
"LOR_LOAD","AutumnWD",0.654443255,0.641862955,0.629014989,0.609207709,0.589132762,0.587526767,0.586188437,0.597698073,0.609207709,0.605995717,0.603051392,0.605460385,0.607601713,0.609743041,0.611616702,0.597430407,0.582976445,0.588329764,0.593683084,0.593683084,0.593950749,0.600642398,0.607334047,0.623126338,0.639186296,0.656584582,0.673982869,0.690310493,0.706905782,0.706905782,0.706638116,0.710653105,0.714668094,0.723768737,0.733137045,0.727248394,0.721359743,0.738490364,0.755353319,0.760974304,0.766595289,0.766327623,0.766059957,0.760438972,0.754550321,0.767130621,0.779710921,0.781852248,0.78372591,0.773286938,0.762847966,0.764186296,0.765256959,0.769807281,0.774625268,0.760171306,0.745717345,0.750535332,0.755353319,0.754014989,0.75267666,0.757226981,0.761777302,0.741702355,0.721627409,0.743040685,0.764453961,0.751873662,0.739293362,0.750267666,0.76124197,0.790417559,0.819593148,0.819860814,0.82012848,0.836456103,0.853051392,0.841541756,0.830299786,0.808351178,0.78640257,0.779443255,0.772751606,0.755888651,0.739025696,0.744646681,0.750267666,0.735010707,0.719753747,0.730192719,0.740631692,0.734207709,0.727783726,0.702623126,0.677730193,0.690310493
"LAN_LOAD","AutumnWD",0.557869682,0.544480809,0.531091937,0.508182089,0.48527224,0.489140137,0.493008033,0.493008033,0.493305564,0.486462362,0.47932163,0.464445106,0.449568581,0.447485867,0.445700684,0.440047605,0.434394525,0.422195775,0.409997025,0.412079738,0.413864921,0.426361202,0.438857483,0.445105623,0.451056233,0.47307349,0.494793216,0.511752455,0.528711693,0.554001785,0.579589408,0.569175841,0.559059804,0.575423981,0.591490628,0.587622731,0.583457304,0.589407914,0.595656055,0.601011604,0.606367153,0.608449866,0.61053258,0.613210354,0.616185659,0.620351086,0.624516513,0.622433799,0.620351086,0.632847367,0.645641178,0.642665873,0.639393038,0.632847367,0.626301696,0.611722702,0.597143707,0.590300506,0.583754835,0.575721511,0.567985719,0.57482892,0.581969652,0.573043737,0.564415353,0.561440048,0.558762273,0.555786968,0.552811663,0.548348706,0.543885748,0.579291877,0.614698007,0.650699197,0.686700387,0.689973222,0.693246058,0.693246058,0.692948527,0.687295448,0.681344838,0.667063374,0.65278191,0.639095507,0.625409104,0.614698007,0.603689378,0.592085689,0.580184469,0.58107706,0.581672121,0.578994347,0.576316572,0.570961024,0.565307944,0.59863136
"MPY_LOAD","AutumnWD",0.577750309,0.555747837,0.533745365,0.513967862,0.494437577,0.480840544,0.467490729,0.460815822,0.454388133,0.461557478,0.468726823,0.458838072,0.44894932,0.444499382,0.439802225,0.435105068,0.430160692,0.429171817,0.428182942,0.428430161,0.428430161,0.433621755,0.43881335,0.447960445,0.45710754,0.479110012,0.501112485,0.513720643,0.526328801,0.539925834,0.553522868,0.5592089,0.564894932,0.576514215,0.588133498,0.601730532,0.615327565,0.62249691,0.629913473,0.628677379,0.627441286,0.622991347,0.61829419,0.622002472,0.625463535,0.625957973,0.62645241,0.625957973,0.625463535,0.615822002,0.606427689,0.620766378,0.634857849,0.629666255,0.624227441,0.619530284,0.615080346,0.609394314,0.603708282,0.597527812,0.591594561,0.585166873,0.578739184,0.574042027,0.56934487,0.571322621,0.573053152,0.573794808,0.574289246,0.582694685,0.590852905,0.610877627,0.631149567,0.646229913,0.661063041,0.68776267,0.71421508,0.707045735,0.699876391,0.675896168,0.651915946,0.639555006,0.627441286,0.615822002,0.604449938,0.585166873,0.566131026,0.555747837,0.545364648,0.550061805,0.554758962,0.623238566,0.691718171,0.661063041,0.63065513,0.628677379
"NPC_LOAD","AutumnWD",0.725785552,0.718334953,0.710884354,0.707968902,0.70489148,0.703757694,0.702623907,0.69436346,0.685941043,0.674441205,0.662941367,0.653223194,0.643505021,0.642533204,0.641399417,0.635568513,0.629737609,0.631357305,0.632815031,0.638160026,0.643505021,0.64739229,0.651279559,0.668448332,0.685779074,0.700032394,0.714447684,0.729996761,0.745545837,0.764658244,0.783770651,0.786686103,0.789763524,0.786848073,0.783932621,0.785390347,0.786848073,0.783446712,0.780045351,0.783122773,0.786038225,0.786200194,0.786362164,0.785552316,0.784742468,0.78765792,0.790735342,0.792355037,0.793974733,0.806122449,0.818108196,0.814382896,0.810495627,0.808713962,0.806932297,0.800453515,0.794136702,0.794298672,0.794460641,0.786686103,0.778749595,0.775024295,0.771298996,0.762228701,0.753158406,0.757045675,0.760932945,0.767087787,0.77324263,0.78069323,0.788143829,0.811143505,0.834143181,0.841269841,0.848396501,0.860868157,0.873177843,0.867508908,0.861839974,0.847262715,0.832685455,0.82005183,0.807580175,0.796404276,0.785390347,0.76627794,0.747327502,0.751052802,0.754778102,0.742792355,0.730806608,0.712989958,0.695335277,0.700680272,0.705863298,0.711694201
"PACA_LOAD","AutumnWD",0.640140275,0.614378203,0.588751012,0.574183976,0.559751821,0.559347181,0.558942541,0.548421905,0.537901268,0.548691664,0.559482061,0.545994065,0.53237119,0.524952792,0.517534394,0.511869436,0.506069598,0.507418398,0.508632317,0.508767197,0.508902077,0.511599676,0.514297275,0.524683032,0.535068789,0.549770704,0.564472619,0.583086053,0.601834367,0.597653089,0.59360669,0.604936606,0.616266523,0.620717561,0.62503372,0.635824117,0.646614513,0.646344753,0.646074993,0.65713515,0.668195306,0.668195306,0.668330186,0.669274346,0.670218506,0.669274346,0.668330186,0.678715943,0.689236579,0.696385217,0.703533855,0.696924737,0.690450499,0.699217696,0.707984893,0.707984893,0.708119773,0.704478015,0.700701376,0.691664419,0.682627462,0.674399784,0.666037227,0.659428109,0.652953871,0.651065552,0.649177232,0.65551659,0.661721068,0.671837065,0.681953062,0.700296736,0.71877529,0.727002967,0.735365525,0.742649042,0.74993256,0.75155112,0.753169679,0.739277043,0.725249528,0.713110332,0.700836256,0.685594821,0.670488265,0.662665228,0.65484219,0.642028595,0.629080119,0.630159158,0.631238198,0.637038036,0.642972754,0.679390343,0.715942811,0.693552738
