Bus,ZoneBus,Xcoord,Ycoord,Country
D-208,DE/LX,503.3200073,510.0150147,D
D-36,DE/LX,471.2600098,805.2149963,D
D-38,DE/LX,663.3699951,804.2850037,D
D-201,DE/LX,540.8400269,522.5250092,D
D-70,DE/LX,633.4699707,742.2750092,D
D-39,DE/LX,656.7299805,804.022522,D
D-25,DE/LX,607.1099854,826.852478,D
D-200,DE/LX,472.2900085,524.5574799,D
D-207,DE/LX,628.6500244,513.1875,D
D-219,DE/LX,579.2999878,480.6074982,D
D-44,DE/LX,396.7200012,792.2850037,D
D-43,DE/LX,476.7799988,794.272522,D
D-46,DE/LX,739.5499878,783.8850403,D
D-48,DE/LX,400.0499878,779.1524963,D
D-47,DE/LX,671.3459319,780.832489,D
D-186,DE/LX,512.7700195,553.7475128,D
D-192,DE/LX,470.0124796,540.1724854,D
D-52,DE/LX,607.9099731,770.3850403,D
D-54,DE/LX,477.2000122,765.5924835,D
D-188,DE/LX,711,547.5,D
D-56,DE/LX,403.019989,763.7850037,D
D-50,DE/LX,451.9599915,776.2199707,D
D-55,DE/LX,549.2700195,765.0449982,D
D-41,DE/LX,692.5900269,801.8625183,D
D-60,DE/LX,512.7199707,762.1799927,D
D-59,DE/LX,487.8599854,762.6374817,D
D-62,DE/LX,733.5,760.4250183,D
D-64,DE/LX,526.7000122,758.0700073,D
D-58,DE/LX,579.6900024,762.855011,D
D-63,DE/LX,450.1300049,760.0574799,D
D-68,DE/LX,738.8099976,744.210022,D
D-10,DE/LX,490.7000122,872.0249634,D
D-179,DE/LX,535.5999756,563.1150055,D
D-8,DE/LX,650.0300293,886.0500183,D
D-6,DE/LX,495.7099915,895.6424561,D
D_Diele,DE/LX,400.5799866,803.4525147,D
D-66,DE/LX,481.0499878,752.0099945,D
D-57,DE/LX,710.2399902,763.6349945,D
D-197,DE/LX,651.6400147,529.4625092,D
D-77,DE/LX,743.2999878,732.7874908,D
D-76,DE/LX,425.0100098,732.9075165,D
D-81,DE/LX,482.9599915,724.7025147,D
D-75,DE/LX,527.539978,732.9674835,D
D-80,DE/LX,762.9699707,726.8475037,D
D-84,DE/LX,477.0700073,717.2624817,D
D-74,DE/LX,504.8500061,738.6824799,D
D-83,DE/LX,732.4199829,719.0775147,D
D-87,DE/LX,583.3900147,716.6850128,D
D-164,DE/LX,443.2600098,589.5299835,D
D-89,DE/LX,661.9500122,716.5050201,D
D-88,DE/LX,434.1700134,716.5350037,D
D-86,DE/LX,449.730011,717.0150147,D
E_obermo,DE/LX,554,457.5,D
D-85,DE/LX,621.5,717.1950073,D
D-73,DE/LX,448.769989,739.5600128,D
D-102,DE/LX,396.2600098,704.4525147,D
D-103,DE/LX,664.789978,703.9350128,D
D-100,DE/LX,378,706,D
D-106,DE/LX,517,697.7774963,D
D-105,DE/LX,405.8299866,698.0549927,D
D-99,DE/LX,645.3900147,705.9299927,D
D-109,DE/LX,390.5100098,695.4900055,D
D-110,DE/LX,404.25,693.2550201,D
D-108,DE/LX,416.1300049,695625,D
D-112,DE/LX,517.2000122,689.9324799,D
D-111,DE/LX,430.6600037,691.5975037,D
D-107,DE/LX,486.1900024,697.2225037,D
